case_id,feature_id,method,initial_graph_violation,initial_g_pvr_event,entered_semantic_traceback,traceback_retries,resolved_by_traceback,final_unresolved_failure,human_intervention_required,failure_type_before_traceback,final_status
F00_C01,F00,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F00_C02,F00,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F00_C03,F00,Vanilla MLLM,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,tool collision,unresolved
F00_C04,F00,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F00_C05,F00,Vanilla MLLM,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,holder collision,unresolved
F01_C01,F01,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F01_C02,F01,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F01_C03,F01,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F01_C04,F01,Vanilla MLLM,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,parameter unsafe,unresolved
F01_C05,F01,Vanilla MLLM,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,parameter unsafe,unresolved
F02_C01,F02,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F02_C02,F02,Vanilla MLLM,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,parameter unsafe,unresolved
F02_C03,F02,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F02_C04,F02,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F02_C05,F02,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F03_C01,F03,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F03_C02,F03,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F03_C03,F03,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F03_C04,F03,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F03_C05,F03,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F04_C01,F04,Vanilla MLLM,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,invalid operation mapping,unresolved
F04_C02,F04,Vanilla MLLM,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,tool collision,unresolved
F04_C03,F04,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F04_C04,F04,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F04_C05,F04,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F05_C01,F05,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F05_C02,F05,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F05_C03,F05,Vanilla MLLM,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,tool collision,unresolved
F05_C04,F05,Vanilla MLLM,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,parameter unsafe,unresolved
F05_C05,F05,Vanilla MLLM,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,overcut,unresolved
F06_C01,F06,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F06_C02,F06,Vanilla MLLM,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,holder collision,unresolved
F06_C03,F06,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F06_C04,F06,Vanilla MLLM,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,holder collision,unresolved
F06_C05,F06,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F07_C01,F07,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F07_C02,F07,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F07_C03,F07,Vanilla MLLM,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,invalid operation mapping,unresolved
F07_C04,F07,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F07_C05,F07,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F08_C01,F08,Vanilla MLLM,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,parameter unsafe,resolved
F08_C02,F08,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F08_C03,F08,Vanilla MLLM,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,tool collision,unresolved
F08_C04,F08,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F08_C05,F08,Vanilla MLLM,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,tool collision,unresolved
F09_C01,F09,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F09_C02,F09,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F09_C03,F09,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F09_C04,F09,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F09_C05,F09,Vanilla MLLM,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,parameter unsafe,unresolved
F10_C01,F10,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F10_C02,F10,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F10_C03,F10,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F10_C04,F10,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F10_C05,F10,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F11_C01,F11,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F11_C02,F11,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F11_C03,F11,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F11_C04,F11,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F11_C05,F11,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F12_C01,F12,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F12_C02,F12,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F12_C03,F12,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F12_C04,F12,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F12_C05,F12,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F13_C01,F13,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F13_C02,F13,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F13_C03,F13,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F13_C04,F13,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F13_C05,F13,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F14_C01,F14,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F14_C02,F14,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F14_C03,F14,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F14_C04,F14,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F14_C05,F14,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F15_C01,F15,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F15_C02,F15,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F15_C03,F15,Vanilla MLLM,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,holder collision,unresolved
F15_C04,F15,Vanilla MLLM,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,parameter unsafe,unresolved
F15_C05,F15,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F16_C01,F16,Vanilla MLLM,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,tool collision,unresolved
F16_C02,F16,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F16_C03,F16,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F16_C04,F16,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F16_C05,F16,Vanilla MLLM,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,holder collision,unresolved
F17_C01,F17,Vanilla MLLM,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,overcut,unresolved
F17_C02,F17,Vanilla MLLM,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,invalid operation mapping,unresolved
F17_C03,F17,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F17_C04,F17,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F17_C05,F17,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F18_C01,F18,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F18_C02,F18,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F18_C03,F18,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F18_C04,F18,Vanilla MLLM,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,tool collision,unresolved
F18_C05,F18,Vanilla MLLM,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,parameter unsafe,unresolved
F19_C01,F19,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F19_C02,F19,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F19_C03,F19,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F19_C04,F19,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F19_C05,F19,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F00_C01,F00,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F00_C02,F00,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F00_C03,F00,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F00_C04,F00,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F00_C05,F00,RAG-based Planner,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,overcut,unresolved
F01_C01,F01,RAG-based Planner,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,holder collision,unresolved
F01_C02,F01,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F01_C03,F01,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F01_C04,F01,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F01_C05,F01,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F02_C01,F02,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F02_C02,F02,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F02_C03,F02,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F02_C04,F02,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F02_C05,F02,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F03_C01,F03,RAG-based Planner,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,tool collision,unresolved
F03_C02,F03,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F03_C03,F03,RAG-based Planner,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,tool collision,unresolved
F03_C04,F03,RAG-based Planner,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,holder collision,unresolved
F03_C05,F03,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F04_C01,F04,RAG-based Planner,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,parameter unsafe,unresolved
F04_C02,F04,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F04_C03,F04,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F04_C04,F04,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F04_C05,F04,RAG-based Planner,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,invalid operation mapping,unresolved
F05_C01,F05,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F05_C02,F05,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F05_C03,F05,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F05_C04,F05,RAG-based Planner,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,tool collision,unresolved
F05_C05,F05,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F06_C01,F06,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F06_C02,F06,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F06_C03,F06,RAG-based Planner,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,overcut,unresolved
F06_C04,F06,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F06_C05,F06,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F07_C01,F07,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F07_C02,F07,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F07_C03,F07,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F07_C04,F07,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F07_C05,F07,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F08_C01,F08,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F08_C02,F08,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F08_C03,F08,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F08_C04,F08,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F08_C05,F08,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F09_C01,F09,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F09_C02,F09,RAG-based Planner,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,tool collision,unresolved
F09_C03,F09,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F09_C04,F09,RAG-based Planner,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,invalid operation mapping,unresolved
F09_C05,F09,RAG-based Planner,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,overcut,unresolved
F10_C01,F10,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F10_C02,F10,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F10_C03,F10,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F10_C04,F10,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F10_C05,F10,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F11_C01,F11,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F11_C02,F11,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F11_C03,F11,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F11_C04,F11,RAG-based Planner,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,tool collision,unresolved
F11_C05,F11,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F12_C01,F12,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F12_C02,F12,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F12_C03,F12,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F12_C04,F12,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F12_C05,F12,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F13_C01,F13,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F13_C02,F13,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F13_C03,F13,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F13_C04,F13,RAG-based Planner,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,holder collision,unresolved
F13_C05,F13,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F14_C01,F14,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F14_C02,F14,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F14_C03,F14,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F14_C04,F14,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F14_C05,F14,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F15_C01,F15,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F15_C02,F15,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F15_C03,F15,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F15_C04,F15,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F15_C05,F15,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F16_C01,F16,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F16_C02,F16,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F16_C03,F16,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F16_C04,F16,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F16_C05,F16,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F17_C01,F17,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F17_C02,F17,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F17_C03,F17,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F17_C04,F17,RAG-based Planner,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,tool collision,unresolved
F17_C05,F17,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F18_C01,F18,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F18_C02,F18,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F18_C03,F18,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F18_C04,F18,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F18_C05,F18,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F19_C01,F19,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F19_C02,F19,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F19_C03,F19,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F19_C04,F19,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F19_C05,F19,RAG-based Planner,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
